CMC.Analytical        BRV.Haplo        CMC.Haplo        VT.BRV.Haplo        VT.CMC.Haplo        WSS.Haplo        start.pos        mid.window.pos        end.pos
0.76189        0.854291        0.784431        0.96008        0.96008        0.91018        141015276        141015276        141017812
0.781801        0.89022        0.826347        0.966068        0.966068        0.92016        141015402        141015402        141017829
0.816338        0.882236        0.828343        0.968064        0.964072        0.908184        141015784        141015784        141017847
0.713431        0.846307        0.748503        0.958084        0.912176        0.858283        141015813        141015813        141017951
0.655482        0.816367        0.684631        0.956088        0.802395        0.848303        141015840        141015840        141017958
0.589156        0.798403        0.634731        0.936128        0.852295        0.834331        141015932        141015932        141018357
0.567114        0.726547        0.550898        0.942116        0.802395        0.802395        141015937        141015937        141018371
0.5        0.704591        0.522954        0.872255        0.738523        0.748503        141016034        141016034        141018374
0.561315        0.718563        0.550898        0.912176        0.734531        0.780439        141016073        141016073        141018638
0.561315        0.712575        0.487026        0.872255        0.702595        0.772455        141016158        141016158        141019025
0.559916        0.744511        0.516966        0.882236        0.724551        0.802395        141016312        141016312        141019057
0.559916        0.692615        0.530938        0.840319        0.752495        0.778443        141016387        141016387        141019158
0.729067        0.806387        0.696607        0.934132        0.9002        0.886228        141016456        141016456        141019535
0.729067        0.800399        0.684631        0.916168        0.894212        0.862275        141016510        141016510        141019540
0.674462        0.708583        0.606786        0.878244        0.870259        0.806387        141016779        141016779        141019599
0.774509        0.858283        0.736527        0.956088        0.942116        0.922156        141017046        141017046        141019719
0.731453        0.776447        0.712575        0.936128        0.924152        0.862275        141017085        141017085        141019735
0.731453        0.802395        0.750499        0.958084        0.934132        0.886228        141017090        141017090        141019796
0.731453        0.712575        0.744511        0.916168        0.914172        0.826347        141017147        141017147        141019847
0.624085        0.602794        0.636727        0.88024        0.894212        0.760479        141017148        141017148        141020077
0.736455        0.674651        0.752495        0.948104        0.934132        0.812375        141017199        141017199        141020129
0.736455        0.658683        0.718563        0.94012        0.922156        0.792415        141017277        141017277        141020387
0.680294        0.730539        0.690619        0.926148        0.878244        0.828343        141017477        141017477        141020428
0.684523        0.730539        0.718563        0.928144        0.9002        0.838323        141017564        141017564        141020451
0.736455        0.760479        0.764471        0.942116        0.93014        0.830339        141017812        141017812        141020478
0.682372        0.738523        0.716567        0.908184        0.9002        0.832335        141017829        141017829        141020505
0.733914        0.730539        0.728543        0.942116        0.916168        0.824351        141017847        141017847        141020608
0.733914        0.748503        0.744511        0.906188        0.928144        0.830339        141017951        141017951        141020617
0.733914        0.698603        0.712575        0.886228        0.912176        0.790419        141017958        141017958        141020664
0.680294        0.686627        0.654691        0.902196        0.894212        0.778443        141018357        141018357        141020732
0.684523        0.682635        0.646707        0.89022        0.882236        0.776447        141018371        141018371        141020901
0.624085        0.712575        0.588822        0.894212        0.884232        0.808383        141018374        141018374        141021548
0.684523        0.730539        0.660679        0.896208        0.93014        0.818363        141018638        141018638        141021937
0.6342        0.696607        0.618762        0.868263        0.814371        0.780439        141019025        141019025        141022265
0.6342        0.664671        0.640719        0.886228        0.832335        0.764471        141019057        141019057        141022379
0.432886        0.51497        0.409182        0.842315        0.740519        0.672655        141019158        141019158        141022485
0.306045        0.443114        0.299401        0.750499        0.608782        0.542914        141019535        141019535        141022635
0.5        0.630739        0.530938        0.804391        0.766467        0.658683        141019540        141019540        141022661
0.5        0.586826        0.510978        0.796407        0.770459        0.636727        141019599        141019599        141022699
0.684523        0.666667        0.62475        0.902196        0.854291        0.728543        141019719        141019719        141022954
0.56361        0.618762        0.55489        0.846307        0.790419        0.672655        141019735        141019735        141023109
0.435566        0.540918        0.43513        0.814371        0.750499        0.592814        141019796        141019796        141023162
0.437184        0.443114        0.399202        0.754491        0.716567        0.516966        141019847        141019847        141023196
0.5        0.506986        0.491018        0.796407        0.772455        0.566866        141020077        141020077        141023431
0.625613        0.602794        0.640719        0.848303        0.830339        0.632735        141020129        141020129        141023583
0.564434        0.518962        0.566866        0.792415        0.814371        0.578842        141020387        141020387        141023815
0.686752        0.542914        0.704591        0.796407        0.860279        0.650699        141020428        141020428        141024227
0.667344        0.60479        0.654691        0.866267        0.874251        0.724551        141020451        141020451        141024250
0.667344        0.491018        0.640719        0.794411        0.862275        0.57485        141020478        141020478        141024296
0.721444        0.56487        0.704591        0.798403        0.892216        0.662675        141020505        141020505        141024327
0.663355        0.52495        0.644711        0.800399        0.870259        0.620758        141020608        141020608        141024455
0.663355        0.51497        0.616766        0.798403        0.858283        0.610778        141020617        141020617        141024535
0.592609        0.293413        0.578842        0.516966        0.816367        0.287425        141020664        141020664        141024547
0.707676        0.321357        0.678643        0.636727        0.89022        0.335329        141020732        141020732        141024758
0.761617        0.391218        0.748503        0.660679        0.924152        0.387226        141020901        141020901        141024901
0.890064        0.540918        0.876248        0.640719        0.89022        0.46507        141021548        141021548        141024947
